comment_name,comment_text,comment_time,label
阿陰,"【以下負雷】給一星我都嫌太高。
起手式我是從2004年看過《雲的彼端，約定的地方》回頭補完《秒速五釐米》、《追逐繁星的孩子》等，認為新海誠最棒的作品是《言葉之庭》，應該可以算半個新海誠腦粉。
我以為去知名牛排館再怎麼樣都不會多難吃，沒想到居然可以吃到塑膠牛排；這不要說新海誠下限，根本可以角逐日本動畫史上最難看榜單了。
很久沒看動畫電影看得這麼生氣，整部電影除了畫面漂亮以外一無是處。
劇情部分完全讓人出戲，主角從頭到尾一直跑又不把話講清楚又怪人家不懂他，逃家部分我以為有什麼苦大仇深的問題才堅持不回去，結果只是證明他是腦殘，還害我以為他有苦衷的我也被當成腦殘。
而且主角還帶範圍弱智光環，導致接觸他的都會變成智障。
還有因為劇情實在太爛了，連原本能聽的歌都讓我不舒服，我覺得整個製作組都該跟歌手下跪道歉",2021/2/1 10:31,負面
怡澄,我覺得很不錯，畫風很漂亮，歌很好聽，雖然劇情方面可能沒有描寫的很清楚，人物設定有點少，但是導演想傳達的意義值得我們省思，整片蠻有笑點的，看著看著心情很愉快，男主角或許有點中二，不過也讓我看到了堅定的決心，整體還是很推薦！！不會到浪費時間觀看啦！,2020/10/14 19:26,正面
鳳,莫名其妙的劇情 這難過花時間觀賞,2020/8/22 22:58,負面
人大佐 殺,很適合給低智商看的劇情，無意義可悲又無聊,2020/7/26 00:13,負面
樹樹道,超級不合常理，超級亂的劇情，不好看,2020/7/13 00:45,負面
峻毅,音樂好聽畫風完美但劇情有點太曲折，整個來說算瑕不掩瑜，看電影的時候是非常開心的！！??,2020/5/17 17:27,正面
Yuji,依然是高水準的製作，無論是美術、音樂、聲優表現，但由於整體節奏與你的名字雷同，幾個下音樂的時間點沒有太多新的感受，再加上這次下音樂頻率偏高，個人是覺得本來醞釀起來的情緒反而被音樂給打斷有點可惜…,2020/4/20 12:07,負面
暖暖,"我是看二輪片的,這是我看過電影結局最爛的,莫名其妙的劇情,一直鬼叫女主角名字的男主角,無止盡的日劇奔跑,莫名熱血的配角群,絕對不會在看新海誠的電影",2020/2/14 15:41,負面
Anita小公主,畫面依然很美，音樂搭配的很好，看到你的名字的梗時，想起當時的感動，非常好看。,2019/12/8 21:45,正面
飛翔,超好看，原本以為應該就是卡通，很多時候，我們以為的犧牲，其實沒有那個必要，歌也很好聽,2019/12/8 05:18,正面
Roger,音樂的搭配非常好，很貼切的呼應了當下的情節,2019/12/5 00:10,正面
?,我覺得音樂出來時機很好，尤其是煙火大會的那段,2019/11/24 22:41,正面
YuYu,"新海誠,留給一般觀眾給的既定印象(動畫代表作)--[你的名字],很容易成為這部影集的[門檻]。事實上,這個標準也可能是以前甚至未來 新導 自己創作的[門檻]。
本片的音樂與動畫繪圖處理,基本上是有一定的上乘水準與新導一貫的製作風格,如同一般觀眾帶著高度期待心情來到影廳欣賞這部創作,而劇情上的安排處理,比起那部[門檻]的代表作品,劇情的深度與廣度(原本以為""氣候變遷""的議題,可能是個廣度極大的劇本),卻讓人感到意外的淺顯,甚至有點單薄與失真(失真,指的是結局的[美好]收尾之安排)。所以,您如果進去戲院欣賞這部片子,或許別帶著某個標準為看片心態,來看待這部影片,或許在觀片後的包容感比較不會有相對的落差。",2019/11/19 22:53,正面
Thomas,Wonderful and incredible  movie,2019/11/17 19:12,正面
豪哥哥,就是單純想見一個人 結局很棒 我喜歡,2019/11/14 03:40,正面
沙丘,"劇情普普 整部戲節奏拖太久 缺乏張力
不推",2019/11/8 01:25,負面
跑腿的,非常好看 值得一看的好片 非常推薦,2019/10/21 13:53,正面
Wade,看了兩次 真的太喜歡了 馬上買了原著來看,2019/10/19 08:07,正面
